sample_id,filename,direction,ssim,psnr,mse,mae,rmse
mri_013,chaos_mri_IMG-0003-00060_slice_000,MRI->CT->MRI,0.8876146700001334,28.588001962553072,0.0013842030560547898,0.020066874101758003,0.03720487946566673
mri_014,chaos_mri_IMG-0013-00031_slice_000,MRI->CT->MRI,0.8342143143351898,25.159695544595337,0.0030481086650643633,0.027783825993537903,0.0552096790885834
mri_015,chaos_mri_IMG-0014-00012_slice_000,MRI->CT->MRI,0.9345996415181607,31.51561230430724,0.0007054053831498342,0.010606169700622559,0.026559468803984656
mri_016,chaos_mri_IMG-0052-00008_slice_000,MRI->CT->MRI,0.9209009672732984,28.850425850117162,0.0013030390018994914,0.018769847229123116,0.036097631527559966
mri_017,chaos_mri_IMG-0082-00038_slice_000,MRI->CT->MRI,0.9388958873759509,30.99786051783525,0.0007947196442020441,0.013353411108255386,0.0281907723236176
mri_018,chaos_mri_IMG-00007-0065_slice_000,MRI->CT->MRI,0.940898707082823,26.42703701702956,0.00227665015025242,0.0196221936494112,0.047714255210077626
mri_019,chaos_mri_IMG-0064-00039_slice_000,MRI->CT->MRI,0.9133053697830215,27.743604480334948,0.0016812780844733023,0.021009597927331924,0.041003391133823335
mri_020,chaos_mri_IMG-0012-00016_slice_000,MRI->CT->MRI,0.9450209274843187,30.91734993486776,0.000809589760195688,0.01295380387455225,0.028453290850017472
mri_021,chaos_mri_IMG-0061-00003_slice_000,MRI->CT->MRI,0.9188542647027373,29.770215731130673,0.0010543345221527228,0.014792198315262794,0.03247051773767586
mri_022,chaos_mri_IMG-0034-00021_slice_000,MRI->CT->MRI,0.8798607322502583,25.035344879033875,0.0031366460350276465,0.03187775984406471,0.0560057678728508
mri_023,chaos_mri_IMG-0013-00038_slice_000,MRI->CT->MRI,0.8509211448377371,30.516765813249364,0.0008878169223097824,0.01726025901734829,0.02979625685064791
mri_024,chaos_mri_IMG-0040-00004_slice_000,MRI->CT->MRI,0.8827151161477417,29.948344951842643,0.0010119650294477158,0.016833998262882233,0.03181139779147901
mri_025,chaos_mri_IMG-0078-00016_slice_000,MRI->CT->MRI,0.9126852512633801,29.938572284188425,0.0010142447575257152,0.014463847503066063,0.03184720957204438
mri_026,chaos_mri_IMG-0019-00003_slice_000,MRI->CT->MRI,0.9195662791390419,30.37211311583149,0.0009178858785980339,0.014656273648142815,0.030296631472789742
mri_027,chaos_mri_DICOM_anon_slice_026,MRI->CT->MRI,0.8809909014117717,30.4084492402769,0.0009102382384953953,0.017753183841705322,0.030170154764193626
mri_028,chaos_mri_IMG-0008-00031_slice_000,MRI->CT->MRI,0.9142191811966897,30.659805656111786,0.0008590519626484744,0.01356561854481697,0.029309588237443295
mri_029,chaos_mri_IMG-0034-00034_slice_000,MRI->CT->MRI,0.9129297539256811,30.301922667733745,0.0009328412306617112,0.017841242253780365,0.030542449650637245
mri_030,chaos_mri_IMG-0024-00025_slice_000,MRI->CT->MRI,0.9224821347453595,31.807481651930022,0.0006595562419631011,0.012583731673657894,0.025681827076029874
mri_031,chaos_mri_IMG-0019-00002_slice_000,MRI->CT->MRI,0.9196618863825798,30.045224480617023,0.0009896407094317613,0.01566382497549057,0.03145855542506301
mri_032,chaos_mri_IMG-0008-00014_slice_000,MRI->CT->MRI,0.9367767353727221,30.708826395464616,0.0008494099821490272,0.01074414886534214,0.02914463899500262
mri_033,chaos_mri_IMG-0013-00017_slice_000,MRI->CT->MRI,0.8460707220540344,26.206381799023003,0.0023953105101906748,0.025291504338383675,0.0489419095478576
mri_034,chaos_mri_IMG-0024-00010_slice_000,MRI->CT->MRI,0.944662615464449,33.12532029749188,0.0004869316120396496,0.008747800253331661,0.022066526959167127
mri_035,chaos_mri_IMG-0004-00025_slice_000,MRI->CT->MRI,0.8812504033155442,26.0837367924745,0.0024639183998746983,0.026159008964896202,0.04963787263647283
mri_036,chaos_mri_IMG-0003-00056_slice_000,MRI->CT->MRI,0.8859527547481656,29.333177250721974,0.0011659563041378663,0.01825816184282303,0.03414610232717442
mri_037,chaos_mri_IMG-0029-00024_slice_000,MRI->CT->MRI,0.8660308040958643,30.888267201707414,0.0008150294090041,0.015673257410526276,0.02854871991883524
mri_038,chaos_mri_IMG-0004-00003_slice_000,MRI->CT->MRI,0.92106814462322,27.16961471664432,0.0019188389624789882,0.021774914115667343,0.04380455412943942
mri_039,chaos_mri_IMG-0027-00042_slice_000,MRI->CT->MRI,0.939816468430385,31.598970795925005,0.0006919949425236748,0.012000823393464088,0.026305796747554993
mri_040,chaos_mri_IMG-0026-00010_slice_000,MRI->CT->MRI,0.9464363981122971,32.80872611482351,0.0005237540431122264,0.00960692297667265,0.022885673315684345
mri_041,chaos_mri_IMG-0082-00045_slice_000,MRI->CT->MRI,0.9275449216461926,28.6567362226898,0.0013624682097089246,0.016184484586119652,0.03691162702603239
mri_042,chaos_mri_IMG-0017-00041_slice_000,MRI->CT->MRI,0.862299087418396,26.96620212702381,0.002010850517783851,0.021739937365055084,0.04484250793369893
mri_043,chaos_mri_IMG-0001-00034_slice_000,MRI->CT->MRI,0.887678909728527,29.747475189224723,0.0010598697110760567,0.017059575766324997,0.03255564023446716
mri_044,chaos_mri_IMG-0040-00046_slice_000,MRI->CT->MRI,0.8974822862502336,31.223335761469684,0.0007545124734711293,0.014829788357019424,0.02746839044194489
mri_045,chaos_mri_IMG-0058-00047_slice_000,MRI->CT->MRI,0.937075194842251,27.314338989395672,0.0018559492695712134,0.017694884911179543,0.04308072967779461
mri_046,chaos_mri_IMG-0005-00048_slice_000,MRI->CT->MRI,0.947447146218434,31.03468492870128,0.0007880095977778386,0.012472756206989288,0.028071508648055212
mri_047,chaos_mri_IMG-0029-00018_slice_000,MRI->CT->MRI,0.8689571338529587,31.536928931291854,0.0007019515007326503,0.014596915803849697,0.02649436733973186
mri_048,chaos_mri_IMG-0002-00035_slice_000,MRI->CT->MRI,0.8757862986843586,29.369187967248816,0.0011563284293224009,0.01789873093366623,0.03400482949997545
mri_049,chaos_mri_IMG-0064-00002_slice_000,MRI->CT->MRI,0.9100517027288675,31.16508805535811,0.0007647001836065241,0.014081321656703949,0.02765321289844137
mri_050,chaos_mri_IMG-0020-00028_slice_000,MRI->CT->MRI,0.9065477318799645,30.832526000569416,0.0008255576382387325,0.01499742642045021,0.0287325188286501
mri_051,chaos_mri_OutPhase_slice_036,MRI->CT->MRI,0.8680443311405629,25.951207342310365,0.0025402664111809858,0.02432391606271267,0.0504010556554224
mri_052,chaos_mri_InPhase_slice_045,MRI->CT->MRI,0.9454225871757567,30.725923232261614,0.000846072689792556,0.011868956498801708,0.029087328680931772
mri_053,chaos_mri_IMG-0028-00001_slice_000,MRI->CT->MRI,0.9226102627001405,27.756460543744534,0.0016763084939956938,0.01979849860072136,0.04094274653703259
mri_054,chaos_mri_IMG-0075-00019_slice_000,MRI->CT->MRI,0.9112778812182964,25.5244155250778,0.002802582768785813,0.02364957705140114,0.052939425467092224
mri_055,chaos_mri_IMG-0011-00049_slice_000,MRI->CT->MRI,0.9410302494174242,28.161577258464444,0.0015270113818295018,0.015317763201892376,0.039076992998815833
mri_056,chaos_mri_IMG-00012-0097_slice_000,MRI->CT->MRI,0.906577413865447,26.977462239669205,0.002005643664659624,0.021008513867855072,0.04478441318873815
mri_057,chaos_mri_IMG-0001-00044_slice_000,MRI->CT->MRI,0.9076586823132038,28.558463567880175,0.00139364975637244,0.015517241321504116,0.037331618721566845
mri_058,chaos_mri_IMG-0013-00069_slice_000,MRI->CT->MRI,0.8254581032529325,25.14470535962717,0.003058647748696504,0.02804998867213726,0.05530504270585553
mri_059,chaos_mri_IMG-0020-00013_slice_000,MRI->CT->MRI,0.918835318900004,30.882415166092763,0.0008161283859036862,0.013225890696048737,0.028567960828587088
mri_060,chaos_mri_IMG-0003-00003_slice_000,MRI->CT->MRI,0.8707101489213706,24.93264477108344,0.003211704076065214,0.028955210000276566,0.05667189846886386
mri_061,chaos_mri_IMG-0014-00013_slice_000,MRI->CT->MRI,0.9317415958274603,30.51298407062579,0.0008885903508193603,0.011988854967057705,0.029809232643920245
mri_062,chaos_mri_IMG-0004-00020_slice_000,MRI->CT->MRI,0.9194366909207851,29.967902091863206,0.001007418195974032,0.01745290867984295,0.0317398518580984
mri_063,chaos_mri_IMG-0040-00022_slice_000,MRI->CT->MRI,0.9109282551819384,30.68717321590546,0.0008536555700332249,0.0150820417329669,0.02921738472268223
mri_064,chaos_mri_IMG-0028-00014_slice_000,MRI->CT->MRI,0.9429410974356532,32.06757749544322,0.0006212154530055255,0.0128603745251894,0.024924194129510496
mri_065,chaos_mri_IMG-0009-00011_slice_000,MRI->CT->MRI,0.9242911212143898,30.14818554331324,0.0009664545736642653,0.013834808021783829,0.031087852509690428
mri_066,chaos_mri_IMG-0028-00036_slice_000,MRI->CT->MRI,0.933946002735734,32.46920303803701,0.000566343207600986,0.01200779341161251,0.023797966459363412
mri_067,chaos_mri_IMG-0027-00027_slice_000,MRI->CT->MRI,0.9161172359591275,26.161675753947694,0.0024200950568899655,0.02087281085550785,0.04919446164854297
mri_068,chaos_mri_IMG-0012-00060_slice_000,MRI->CT->MRI,0.9563917769386768,30.684354171535485,0.0008542098653871803,0.01181526854634285,0.02922686889468628
mri_069,chaos_mri_IMG-0017-00051_slice_000,MRI->CT->MRI,0.8659249843864879,26.063923744018357,0.0024751847784441386,0.02425871416926384,0.04975122891390864
mri_070,chaos_mri_IMG-0002-00005_slice_000,MRI->CT->MRI,0.9320520076310634,31.218200292995235,0.000755405201105993,0.012159322388470173,0.027484635728093485
mri_071,chaos_mri_InPhase_slice_007,MRI->CT->MRI,0.9138974656933546,29.950134189816005,0.0010115481986097822,0.01834036596119404,0.0318048455209231
mri_072,chaos_mri_IMG-0010-00014_slice_000,MRI->CT->MRI,0.9378500684425831,31.124914506445936,0.0007718067089277508,0.015396579168736935,0.02778140941219057
mri_073,chaos_mri_IMG-0058-00038_slice_000,MRI->CT->MRI,0.9606847432582378,31.936646573637226,0.0006402290006674638,0.010896108113229275,0.02530274689964439
mri_074,chaos_mri_IMG-0016-00026_slice_000,MRI->CT->MRI,0.9420360476813018,30.924686150181397,0.0008082233345475889,0.012949413619935513,0.028429268976665385
mri_075,chaos_mri_IMG-0009-00014_slice_000,MRI->CT->MRI,0.9265789650876523,30.781411249841337,0.0008353315312339073,0.012979692779481411,0.02890210254002133
mri_076,chaos_mri_IMG-0040-00058_slice_000,MRI->CT->MRI,0.885724033749938,30.870635978108993,0.0008183449414411162,0.015426970086991787,0.02860672895388629
mri_077,chaos_mri_IMG-0029-00022_slice_000,MRI->CT->MRI,0.86211192289114,31.336557324766975,0.0007350963520077104,0.015144718810915947,0.02711266036389108
mri_078,chaos_mri_IMG-0017-00063_slice_000,MRI->CT->MRI,0.8969015614686235,27.9959782786323,0.0015863615396930915,0.018910035490989685,0.03982915439339745
mri_079,chaos_mri_IMG-0064-00022_slice_000,MRI->CT->MRI,0.9227452599583864,31.09404558466066,0.0007773121238885905,0.01482740044593811,0.027880317858456898
mri_080,chaos_mri_IMG-0013-00035_slice_000,MRI->CT->MRI,0.8313960540848934,24.65195589384651,0.0034261345199004148,0.029020922258496284,0.058533191608696813
mri_081,chaos_mri_IMG-0023-00028_slice_000,MRI->CT->MRI,0.9433581885103584,31.98903727662435,0.0006325520569705425,0.011732514016330242,0.02515058760686403
mri_082,chaos_mri_IMG-00012-0042_slice_000,MRI->CT->MRI,0.9444091518552303,29.642850647645957,0.0010857127431686975,0.01737814210355282,0.032950155434666735
mri_083,chaos_mri_IMG-0013-00074_slice_000,MRI->CT->MRI,0.889766248762168,29.158906827813027,0.0012136943136825714,0.016789836809039116,0.03483811581705548
mri_084,chaos_mri_IMG-00007-0088_slice_000,MRI->CT->MRI,0.9349517302895486,29.377113221159192,0.0011542202192951084,0.014863829128444195,0.03397381667247747
mri_085,chaos_mri_IMG-0022-00052_slice_000,MRI->CT->MRI,0.929076130273819,31.423464525712145,0.0007205324547971228,0.014074992388486862,0.026842735605692704
mri_086,chaos_mri_IMG-0031-00012_slice_000,MRI->CT->MRI,0.9062054903371334,30.074787422807763,0.000982926983844961,0.017206495627760887,0.03135166636472392
mri_087,chaos_mri_IMG-0017-00054_slice_000,MRI->CT->MRI,0.9129375402759313,30.41182655300343,0.0009095306623443597,0.015457549132406712,0.03015842605880419
mri_088,chaos_mri_IMG-00012-0084_slice_000,MRI->CT->MRI,0.9287506035595536,28.575454488239714,0.0013882080266563173,0.019247502088546753,0.03725866377980184
mri_089,chaos_mri_IMG-0012-00066_slice_000,MRI->CT->MRI,0.9494095700020279,30.040198220103342,0.000990786722506422,0.012256073765456676,0.03147676480368372
mri_090,chaos_mri_IMG-0073-00004_slice_000,MRI->CT->MRI,0.9288488399597407,30.943805806266965,0.0008046729816942162,0.012264961376786232,0.028366758392425036
mri_091,chaos_mri_IMG-0022-00048_slice_000,MRI->CT->MRI,0.9373677115766406,32.22428815856743,0.0005991991438247479,0.012724819593131542,0.024478544560997656
mri_092,chaos_mri_IMG-0013-00006_slice_000,MRI->CT->MRI,0.8916784501108825,31.092794727322243,0.0007775360379953795,0.014489534310996532,0.02788433319976254
mri_093,chaos_mri_IMG-0049-00009_slice_000,MRI->CT->MRI,0.865120949347213,27.20194341773805,0.0019046082370113493,0.02273275889456272,0.04364181752644302
mri_094,chaos_mri_IMG-0030-00028_slice_000,MRI->CT->MRI,0.9003882378959656,30.358255787042886,0.0009208193168390138,0.014179796911776066,0.03034500480868332
