sample_id,filename,direction,ssim,psnr,mse,mae,rmse
mri_000,chaos_mri_IMG-0004-00063_slice_000,MRI->CT->MRI,0.922726737470612,25.695055698202207,0.0026946007739143325,0.01987060345709324,0.05190954415051564
mri_001,chaos_mri_IMG-00007-0059_slice_000,MRI->CT->MRI,0.938041000004083,26.77132890806036,0.002103134798055572,0.018842708319425583,0.045859947645582544
mri_002,chaos_mri_IMG-0018-00020_slice_000,MRI->CT->MRI,0.9478733350260258,34.24533246404424,0.00037624154886819474,0.009040174074470997,0.01939694689553474
mri_003,chaos_mri_IMG-0016-00027_slice_000,MRI->CT->MRI,0.9315147944149803,27.14537734971219,0.0019295776717953132,0.018466154113411903,0.04392695837177112
mri_004,chaos_mri_IMG-0013-00050_slice_000,MRI->CT->MRI,0.9097577832593918,30.279157254722886,0.0009377439578032015,0.017175471410155296,0.03062260533989885
mri_005,chaos_mri_IMG-0006-00038_slice_000,MRI->CT->MRI,0.919555502810955,31.667561247852678,0.0006811517476111243,0.015030506998300552,0.02609888402999493
mri_006,chaos_mri_IMG-0004-00026_slice_000,MRI->CT->MRI,0.9399978669073582,31.37685808160944,0.000728306509843993,0.015026604756712914,0.026987154534036988
mri_007,chaos_mri_IMG-0061-00004_slice_000,MRI->CT->MRI,0.9315278119606972,29.122837104940494,0.0012238164584863617,0.01687866635620594,0.0349830881782378
mri_008,chaos_mri_IMG-0003-00033_slice_000,MRI->CT->MRI,0.8939597055498958,25.315093214392594,0.002940970569821321,0.028096940368413925,0.054230716110165104
mri_009,chaos_mri_IMG-0078-00021_slice_000,MRI->CT->MRI,0.9241819194008112,30.81586714405274,0.0008287304293877762,0.012587729841470718,0.028787678429977228
mri_010,chaos_mri_IMG-0034-00031_slice_000,MRI->CT->MRI,0.8902341430850346,25.567784133697607,0.0027747354748266823,0.030622931197285652,0.05267575794259331
mri_011,chaos_mri_IMG-00007-0087_slice_000,MRI->CT->MRI,0.9108888666276038,25.21678750589394,0.0030083007322146255,0.02230321615934372,0.05484797837855672
mri_012,chaos_mri_IMG-00007-0079_slice_000,MRI->CT->MRI,0.9386422008441389,27.212187984118152,0.0019001207541789954,0.01857198402285576,0.04359037455882887
mri_013,chaos_mri_IMG-0003-00060_slice_000,MRI->CT->MRI,0.9196152696125507,29.46437797997429,0.0011312594028160608,0.018069913610816002,0.03363419989855654
mri_014,chaos_mri_IMG-0013-00031_slice_000,MRI->CT->MRI,0.8644975738994609,25.829901914725305,0.0026122203506489853,0.02551078423857689,0.05110988505806861
mri_015,chaos_mri_IMG-0014-00012_slice_000,MRI->CT->MRI,0.940329281349659,32.14042389942487,0.0006108823959337044,0.009804345667362213,0.024716035198504318
mri_016,chaos_mri_IMG-0052-00008_slice_000,MRI->CT->MRI,0.924342378260565,30.172641345971382,0.0009610276109309187,0.017574544996023178,0.03100044533439671
mri_017,chaos_mri_IMG-0082-00038_slice_000,MRI->CT->MRI,0.9499591227636337,32.41485037836702,0.0005734756233894854,0.01174512505531311,0.023947351072498298
mri_018,chaos_mri_IMG-00007-0065_slice_000,MRI->CT->MRI,0.9417556796200834,26.44853791442594,0.0022654068457618024,0.019870122894644737,0.04759629025209635
mri_019,chaos_mri_IMG-0064-00039_slice_000,MRI->CT->MRI,0.9274965791757107,28.169308019813233,0.001524295607062934,0.020630676299333572,0.039042228510459465
mri_020,chaos_mri_IMG-0012-00016_slice_000,MRI->CT->MRI,0.9558616257946492,32.56827959795181,0.000553569355207596,0.011128084734082222,0.02352805464137645
mri_021,chaos_mri_IMG-0061-00003_slice_000,MRI->CT->MRI,0.9326465372054576,28.402992350963455,0.0014444441851400903,0.017736438661813736,0.038005844091929995
mri_022,chaos_mri_IMG-0034-00021_slice_000,MRI->CT->MRI,0.8934308325456828,25.316715007525733,0.002939872523307712,0.031214777380228043,0.054220591322003416
mri_023,chaos_mri_IMG-0013-00038_slice_000,MRI->CT->MRI,0.9028621672959327,31.399244705831425,0.0007245619597966078,0.015080866403877735,0.026917688604272988
mri_024,chaos_mri_IMG-0040-00004_slice_000,MRI->CT->MRI,0.9190977805285454,31.146734204298625,0.0007679387447585108,0.01471927110105753,0.02771170771999645
mri_025,chaos_mri_IMG-0078-00016_slice_000,MRI->CT->MRI,0.919413536090374,30.404063584172043,0.0009111578928678209,0.013567150570452213,0.030185392044295548
mri_026,chaos_mri_IMG-0019-00003_slice_000,MRI->CT->MRI,0.9277600062899589,30.819032803762518,0.0008281265712410484,0.014205113984644413,0.02877718838318032
mri_027,chaos_mri_DICOM_anon_slice_026,MRI->CT->MRI,0.8846189653031826,31.028824060771072,0.0007890737462043536,0.016388555988669395,0.028090456496902175
mri_028,chaos_mri_IMG-0008-00031_slice_000,MRI->CT->MRI,0.9218104307398796,31.26345522916179,0.0007475744966347231,0.012739596888422966,0.027341808583828595
mri_029,chaos_mri_IMG-0034-00034_slice_000,MRI->CT->MRI,0.9313237458977699,29.458081389964917,0.001132900741382439,0.020514052361249924,0.03365859090013185
mri_030,chaos_mri_IMG-0024-00025_slice_000,MRI->CT->MRI,0.9249604217915535,30.65363305911392,0.0008602737952605972,0.015163739211857319,0.029330424396189655
mri_031,chaos_mri_IMG-0019-00002_slice_000,MRI->CT->MRI,0.9296750045912265,31.991695079709885,0.0006321650650670724,0.012684457004070282,0.025142892933532376
mri_032,chaos_mri_IMG-0008-00014_slice_000,MRI->CT->MRI,0.9411975729897022,31.767386664406537,0.0006656735999755978,0.010000388137996197,0.025800651154100702
mri_033,chaos_mri_IMG-0013-00017_slice_000,MRI->CT->MRI,0.8526203667017669,26.783239905556798,0.0020973746251835555,0.023615894839167595,0.04579710280338217
mri_034,chaos_mri_IMG-0024-00010_slice_000,MRI->CT->MRI,0.9502528799386024,33.27929169576021,0.0004699707513316821,0.008309776894748211,0.021678808807950728
mri_035,chaos_mri_IMG-0004-00025_slice_000,MRI->CT->MRI,0.9021194172725677,26.778914698717372,0.0020994644739418928,0.023758964613080025,0.04581991350866883
mri_036,chaos_mri_IMG-0003-00056_slice_000,MRI->CT->MRI,0.9193482090041637,29.560564400810236,0.0011064799786097616,0.017866922542452812,0.03326379380963274
mri_037,chaos_mri_IMG-0029-00024_slice_000,MRI->CT->MRI,0.8770976993108988,31.11732265186135,0.0007731570757748803,0.015596633777022362,0.02780570221689933
mri_038,chaos_mri_IMG-0004-00003_slice_000,MRI->CT->MRI,0.9294135334084556,27.964647653495422,0.0015978471583878258,0.02032136730849743,0.039973080421551524
mri_039,chaos_mri_IMG-0027-00042_slice_000,MRI->CT->MRI,0.9540265788664818,32.44551867377879,0.0005694402123624907,0.011169574223458767,0.023862946430868313
mri_040,chaos_mri_IMG-0026-00010_slice_000,MRI->CT->MRI,0.9539489320709408,32.251108579417014,0.0005955101143074789,0.010122829116880894,0.024403075918979535
mri_041,chaos_mri_IMG-0082-00045_slice_000,MRI->CT->MRI,0.9380559047818287,29.673966730556,0.001077961690843254,0.014388257637619972,0.03283232691789076
mri_042,chaos_mri_IMG-0017-00041_slice_000,MRI->CT->MRI,0.8927739556580782,28.327021877181174,0.0014699339218395863,0.0195140577852726,0.038339717289510446
